央视,#genre#
黑龙江卫视,http://112.27.235.94:8000/hls/48/index.m3u8
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8



陕西,#genre#
陕西卫视,http://111.20.33.93/PLTV/88888893/224/3221227096/index.m3u8 
陕西新闻资讯,http://111.20.33.93/PLTV/88888893/224/3221227099/index.m3u8 
陕西新闻资讯,http://111.20.33.93/PLTV/88888893/224/3221226357/index.m3u8 
陕西都市青春,http://111.20.33.93/PLTV/88888893/224/3221227102/index.m3u8
陕西都市青春,http://111.20.33.93/PLTV/88888893/224/3221226358/index.m3u8
陕西体育休闲,http://111.20.33.93/PLTV/88888893/224/3221227111/index.m3u8
陕西体育休闲,http://111.20.33.93/PLTV/88888893/224/3221226363/index.m3u8 
陕西银龄,http://111.20.33.93/PLTV/88888893/224/3221226359/index.m3u8 
陕西秦腔,http://111.20.33.93/PLTV/88888893/224/3221227125/index.m3u8 
陕西秦腔,http://111.20.33.93/PLTV/88888893/224/3221226361/index.m3u8 
农林卫视,http://111.20.33.93/PLTV/88888893/224/3221226229/index.m3u8
西部电影,http://111.20.33.93/PLTV/88888893/224/3221226364/index.m3u8 
西部电影,http://111.20.33.93/PLTV/88888893/224/3221227091/index.m3u8 
西安新闻综合,http://111.20.33.93/PLTV/88888893/224/3221226366/index.m3u8 
西安都市,http://111.20.33.93/PLTV/88888893/224/3221226367/index.m3u8
西安商务资讯,http://111.20.33.93/PLTV/88888893/224/3221226368/index.m3u8
西安戏剧影视,http://111.20.33.93/PLTV/88888893/224/3221226369/index.m3u8
西安丝路,http://111.20.33.93/PLTV/88888893/224/3221226370/index.m3u8
西安教育,http://111.20.33.93/PLTV/88888893/224/3221226371/index.m3u8 
咸阳综合,http://111.20.33.93/PLTV/88888893/224/3221226372/index.m3u8 
宝鸡综合,http://111.20.33.93/PLTV/88888893/224/3221226383/index.m3u8 
宝鸡公共,http://111.20.33.93/PLTV/88888893/224/3221226384/index.m3u8 
渭南新闻综合,http://111.20.33.93/PLTV/88888893/224/3221226376/index.m3u8 
渭南公共,http://111.20.33.93/PLTV/88888893/224/3221227001/index.m3u8
商洛综合,http://111.20.33.93/PLTV/88888893/224/3221226378/index.m3u8 
商洛公共,http://111.20.33.93/PLTV/88888893/224/3221227006/index.m3u8 
安康综合,http://111.20.33.93/PLTV/88888893/224/3221226385/index.m3u8  
榆林综合,http://111.20.33.93/PLTV/88888893/224/3221226377/index.m3u8 
汉中综合,http://111.20.33.93/PLTV/88888893/224/3221226331/index.m3u8
汉中公共,http://111.20.33.93/PLTV/88888893/224/3221225990/index.m3u8
汉中教育,http://111.20.33.93/PLTV/88888893/224/3221225991/index.m3u8
延安综合,http://111.20.33.93/PLTV/88888893/224/3221226374/index.m3u8
延安公共,http://111.20.33.93/PLTV/88888893/224/3221226375/index.m3u8
铜川综合,http://111.20.33.93/PLTV/88888893/224/3221226379/index.m3u8
铜川公共,http://111.20.33.93/PLTV/88888893/224/3221226380/index.m3u8



电影,#genre#
CHC-家庭影院,http://111.20.33.93/PLTV/88888893/224/3221226462/index.m3u8 
CHC-动作电影,http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8 
CHC-影迷电影,http://111.20.33.93/PLTV/88888893/224/3221226463/index.m3u8 



少儿·教育·动画,#genre#
CETV1-综合教育,http://111.20.33.93/PLTV/88888888/224/3221225753/index.m3u8
CETV2-教育教学,http://111.20.33.93/PLTV/88888888/224/3221225756/index.m3u8
CETV3-北京地面,http://111.20.33.93/PLTV/88888893/224/3221226226/index.m3u8
CETV4-职业教育,http://111.20.33.93/PLTV/88888893/224/3221226225/index.m3u8 
CETV-早期教育,http://111.20.33.93/PLTV/88888893/224/3221227143/index.m3u8 
广东嘉佳卡通,http://111.20.33.93/PLTV/88888893/224/3221226227/index.m3u8
江苏优漫卡通,http://111.20.33.93/PLTV/88888888/224/3221225795/index.m3u8
湖南金鹰卡通,http://111.20.33.93/PLTV/88888888/224/3221225744/index.m3u8



陕西地方台,#genre#
长安,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226985/1.m3u8
临潼,http://111.20.33.93/PLTV/88888893/224/3221227062/index.m3u8 

杨凌,http://111.20.33.93/PLTV/88888893/224/3221226373/index.m3u8
杨凌,http://111.20.33.93/PLTV/88888888/224/3221226373/index.m3u8
杨凌,http://111.20.33.93/PLTV/88888951/224/3221226373/index.m3u8
泾阳,http://111.20.33.93/PLTV/88888893/224/3221226979/index.m3u8 
扶风,http://111.20.33.93/PLTV/88888893/224/3221227005/index.m3u8 
永寿,http://111.20.33.93/PLTV/88888893/224/3221227040/index.m3u8
旬邑,http://111.20.33.93/PLTV/88888893/224/3221227077/index.m3u8 

眉县新闻综合,http://111.20.33.93/PLTV/88888893/224/3221227069/index.m3u8 
麟游,http://111.20.33.93/PLTV/88888893/224/3221227072/index.m3u8 
太白,http://111.20.33.93/PLTV/88888893/224/3221227083/index.m3u8 
千阳,http://111.20.33.93/PLTV/88888893/224/3221226945/index.m3u8 

蒲城综合,http://111.20.33.93/PLTV/88888893/224/3221226976/index.m3u8 
合阳,http://111.20.33.93/PLTV/88888893/224/3221227053/index.m3u8 

宁强综合,http://111.20.33.93/PLTV/88888893/224/3221226390/index.m3u8
佛坪综合,http://111.20.33.93/PLTV/88888893/224/3221226454/index.m3u8 
镇巴,http://111.20.33.93/PLTV/88888893/224/3221226457/index.m3u8 
西乡融媒,http://111.20.33.93/PLTV/88888893/224/3221226556/index.m3u8 
城固,http://111.20.33.93/PLTV/88888893/224/3221226920/index.m3u8 
洋县,http://111.20.33.93/PLTV/88888893/224/3221226938/index.m3u8 
留坝,http://111.20.33.93/PLTV/88888893/224/3221226000/index.m3u8
南郑综合,http://111.20.33.93/PLTV/88888893/224/3221226955/index.m3u8
勉县综合,http://111.20.33.93/PLTV/88888893/224/3221226952/index.m3u8
略阳,http://111.20.33.93/PLTV/88888893/224/3221226322/index.m3u8

宁陕,http://111.20.33.93/PLTV/88888893/224/3221226998/index.m3u8 
平利,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227016/1.m3u8
白河,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226973/1.m3u8
汉阴,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226995/1.m3u8
紫阳综合,http://111.20.33.93/PLTV/88888893/224/3221227002/index.m3u8 
镇平综合,http://111.20.33.93/PLTV/88888893/224/3221227032/index.m3u8 
岚皋,http://111.20.33.93/PLTV/88888893/224/3221227057/index.m3u8 

延川融媒,http://111.20.33.93/PLTV/88888893/224/3221227064/index.m3u8 
黄龙融媒,http://111.20.33.93/PLTV/88888893/224/3221227029/index.m3u8 
吴起,http://111.20.33.93/PLTV/88888893/224/3221226967/index.m3u8 
志丹,http://111.20.33.93/PLTV/88888893/224/3221226989/index.m3u8 
黄陵,http://111.20.33.93/PLTV/88888893/224/3221226992/index.m3u8 
子长,http://111.20.33.93/PLTV/88888893/224/3221227061/index.m3u8 

神木,http://111.20.33.93/PLTV/88888893/224/3221226993/index.m3u8 
子洲,http://111.20.33.93/PLTV/88888893/224/3221227104/index.m3u8 
榆阳,http://111.20.33.93/PLTV/88888893/224/3221227017/index.m3u8 
横山,http://111.20.33.93/PLTV/88888893/224/3221227054/index.m3u8 

FGTV,http://111.20.33.93/PLTV/88888893/224/3221226990/index.m3u8 
未知地方台-1,http://111.20.33.93/PLTV/88888893/224/3221226982/index.m3u8
未知地方台-2,http://111.20.33.93/PLTV/88888893/224/3221226983/index.m3u8
未知地方台-3,http://111.20.33.93/PLTV/88888893/224/3221227086/index.m3u8
未知地方台-4,http://111.20.33.93/PLTV/88888893/224/3221227090/index.m3u8



其他,#genre#
上海第一财经,http://111.20.33.93/PLTV/88888951/224/3221226966/index.m3u8
江苏财富天下,http://111.20.33.93/PLTV/88888893/224/3221226350/index.m3u8
湖南金鹰纪实,http://111.20.33.93/PLTV/88888893/224/3221226351/index.m3u8 
湖南茶频道,http://111.20.33.93/PLTV/88888893/224/3221226808/index.m3u8  
湖南快乐垂钓,http://111.20.33.93/PLTV/88888893/224/3221226805/index.m3u8  
江苏好享购物,http://111.20.33.93/PLTV/88888893/224/3221226018/index.m3u8
聚鲨环球精选,http://111.20.33.93/PLTV/88888893/224/3221226459/index.m3u8
湖南快乐购,http://111.20.33.93/PLTV/88888893/224/3221226353/index.m3u8
陕西乐家购物,http://111.20.33.93/PLTV/88888893/224/3221226362/index.m3u8
央广购物,http://111.20.33.93/PLTV/88888893/224/3221226032/index.m3u8
